Karl Lagerfeld;Burberry;493 CHF;https://www.farfetch.com//ch/shopping/men/burberry-vintage-check-low-top-sneakers-item-17700269.aspx?storeid=9533
Gucci;Karl Lagerfeld;171 CHF;https://www.farfetch.com//ch/shopping/men/karl-lagerfeld-monogram-print-lace-up-sneakers-item-19284977.aspx?storeid=9783
On Running;Gucci;1030 CHF;https://www.farfetch.com//ch/shopping/men/gucci-gg-jacquard-canvas-ankle-boots-item-20908555.aspx?storeid=10524
Dsquared2;On Running;259 CHF;https://www.farfetch.com//ch/shopping/men/on-running-cloudmonster-low-top-sneakers-item-20853759.aspx?storeid=14288
On Running;Reebok;230 CHF;https://www.farfetch.com//ch/shopping/men/reebok-legacy-lifter-iii-panelled-sneakers-item-20136826.aspx?storeid=15073
Nike;On Running;192 CHF;https://www.farfetch.com//ch/shopping/men/on-running-cloud-5-sneakers-item-20885657.aspx?storeid=9111
Philipp Plein;Nike;138 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-ambush-air-adjust-force-blue-sneakers-item-19325520.aspx?storeid=13537
Giuseppe Zanotti;Philipp Plein;1040 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-logo-plaque-hi-top-sneakers-item-17354159.aspx?storeid=12556
Magnanni;Nike;142 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-max-270-sneakers-item-12826138.aspx?storeid=11218
Dolce &amp; Gabbana;Magnanni;427 CHF;https://www.farfetch.com//ch/shopping/men/magnanni-interwoven-leather-loafers-item-18084931.aspx?storeid=11529
adidas Yeezy;Dolce &amp; Gabbana;725 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-logo-print-lace-up-sneakers-item-16978532.aspx?storeid=13098
Dsquared2;Off-White;605 CHF;https://www.farfetch.com//ch/shopping/men/off-white-30-off-court-high-top-sneakers-item-19271113.aspx?storeid=12572
Balmain;New Balance;242 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-990v3-made-in-usa-sneakers-item-20233781.aspx?storeid=10050
New Balance;Balmain;1190 CHF;https://www.farfetch.com//ch/shopping/men/balmain-unicorn-low-top-sneakers-item-21257471.aspx?storeid=12853
Valentino Garavani;New Balance;165 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-9060-panelled-low-top-sneakers-item-20871250.aspx?storeid=13537
New Balance;Valentino Garavani;730 CHF;https://www.farfetch.com//ch/shopping/men/valentino-garavani-rockstud-untitled-leather-sneakers-item-11613218.aspx?storeid=10057
New Balance;New Balance;243 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-9060-december-sky-sneakers-item-20708102.aspx?storeid=10267
Birkenstock;New Balance;530 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-9060-bricks-and-wood-sneakers-item-19711403.aspx?storeid=11218
New Balance;Nike;109 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-undercover-air-force-1-low-sp-grey-fog-sneakers-item-19323921.aspx?storeid=11218
AMI Paris;New Balance;226 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-990-v3-grey-sneakers-item-19695832.aspx?storeid=11218
Philipp Plein;Reebok;120 CHF;https://www.farfetch.com//ch/shopping/men/reebok-club-c-revenge-leather-sneakers-item-20136833.aspx?storeid=15073
adidas Yeezy;Philipp Plein;322 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-runner-basic-low-top-sneakers-item-18558580.aspx?storeid=11845
ASICS;Hogan;510 CHF;https://www.farfetch.com//ch/shopping/men/hogan-h600-lace-up-sneakers-item-18689883.aspx?storeid=9981
BOSS;Jordan;165 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-low-bordeaux-sneakers-item-19267201.aspx?storeid=11218
;Balenciaga;995 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-triple-s-low-top-sneakers-item-15653866.aspx?storeid=13539
